topic,url,token_count,crawled,category
1980s,https://en.wikipedia.org/wiki/1980s,13630,TRUE,Concepts & Knowledge
2023–24 South Pacific cyclone season,https://en.wikipedia.org/wiki/2023–24_South_Pacific_cyclone_season,9161,TRUE,Other
Paula Vennells,https://en.wikipedia.org/wiki/Paula_Vennells,5442,TRUE,Other
Joan Ruth,https://en.wikipedia.org/wiki/Joan_Ruth,7406,TRUE,Other
Bertram Fletcher Robinson,https://en.wikipedia.org/wiki/Bertram_Fletcher_Robinson,10773,TRUE,Other
2024 Men's T20 World Cup final,https://en.wikipedia.org/wiki/2024_Men's_T20_World_Cup_final,5784,TRUE,Sports Events & Competitions
Alexander Murdoch Mackay,https://en.wikipedia.org/wiki/Alexander_Murdoch_Mackay,4417,TRUE,Concepts & Knowledge
Longlegs,https://en.wikipedia.org/wiki/Longlegs,4721,TRUE,Other
Hanu-Man,https://en.wikipedia.org/wiki/Hanu-Man,13621,TRUE,"Movies, TV Shows & Entertainment"
The Greatest of All Time,https://en.wikipedia.org/wiki/The_Greatest_of_All_Time,16247,TRUE,Concepts & Knowledge
Legalism (Chinese philosophy),https://en.wikipedia.org/wiki/Legalism_(Chinese_philosophy),11478,TRUE,Concepts & Knowledge
Palace of Fontainebleau,https://en.wikipedia.org/wiki/Palace_of_Fontainebleau,13992,TRUE,Other
15.ai,https://en.wikipedia.org/wiki/15.ai,5555,TRUE,Concepts & Knowledge
2023–24 Liga 1 (Indonesia),https://en.wikipedia.org/wiki/2023–24_Liga_1_(Indonesia),7176,TRUE,Sports Events & Competitions
Ratan Tata,https://en.wikipedia.org/wiki/Ratan_Tata,8420,TRUE,Other
Elimination Chamber: Perth,https://en.wikipedia.org/wiki/Elimination_Chamber:_Perth,5699,TRUE,Sports Events & Competitions
Arthashastra,https://en.wikipedia.org/wiki/Arthashastra,15561,TRUE,Concepts & Knowledge
X-Men '97,https://en.wikipedia.org/wiki/X-Men_'97,15206,TRUE,"Movies, TV Shows & Entertainment"
Turkey,https://en.wikipedia.org/wiki/Turkey,28280,TRUE,Other
Typhoon Yagi,https://en.wikipedia.org/wiki/Typhoon_Yagi,19815,TRUE,Breaking News & Incidents
WrestleMania XL,https://en.wikipedia.org/wiki/WrestleMania_XL,17654,TRUE,Sports Events & Competitions
IM-1,https://en.wikipedia.org/wiki/IM-1,6236,TRUE,Other
Vultures 1,https://en.wikipedia.org/wiki/Vultures_1,17767,TRUE,Concepts & Knowledge
2024 South African general election,https://en.wikipedia.org/wiki/2024_South_African_general_election,15553,TRUE,Political Elections & Campaigns
History of Africa,https://en.wikipedia.org/wiki/History_of_Africa,18079,TRUE,Concepts & Knowledge
Arch,https://en.wikipedia.org/wiki/Arch,9894,TRUE,Concepts & Knowledge
Israeli airstrike on the Iranian consulate in Damascus,https://en.wikipedia.org/wiki/Israeli_airstrike_on_the_Iranian_consulate_in_Damascus,6885,TRUE,Breaking News & Incidents
Olympiacos F.C.,https://en.wikipedia.org/wiki/Olympiacos_F.C.,25806,TRUE,Sports Events & Competitions
George Campbell Sherrin,https://en.wikipedia.org/wiki/George_Campbell_Sherrin,3454,TRUE,Other
Argylle,https://en.wikipedia.org/wiki/Argylle,4875,TRUE,"Movies, TV Shows & Entertainment"
Børsen,https://en.wikipedia.org/wiki/Børsen,2530,TRUE,Other
2024 Welsh Open (snooker),https://en.wikipedia.org/wiki/2024_Welsh_Open_(snooker),5683,TRUE,Sports Events & Competitions
2023–24 South-West Indian Ocean cyclone season,https://en.wikipedia.org/wiki/2023–24_South-West_Indian_Ocean_cyclone_season,11041,TRUE,Breaking News & Incidents
Marvel Epic Collection,https://en.wikipedia.org/wiki/Marvel_Epic_Collection,11576,TRUE,Concepts & Knowledge
Quincy Jones,https://en.wikipedia.org/wiki/Quincy_Jones,10737,TRUE,Other
Typhoon Krathon,https://en.wikipedia.org/wiki/Typhoon_Krathon,9068,TRUE,Breaking News & Incidents
Jimmy Carter,https://en.wikipedia.org/wiki/Jimmy_Carter,37888,TRUE,Other
Bove Path,https://en.wikipedia.org/wiki/Bove_Path,4028,TRUE,Other
Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,33788,TRUE,Other
2024 NBA playoffs,https://en.wikipedia.org/wiki/2024_NBA_playoffs,18710,TRUE,Sports Events & Competitions
Super Bowl LVIII,https://en.wikipedia.org/wiki/Super_Bowl_LVIII,13251,TRUE,Sports Events & Competitions
Indonesia national football team,https://en.wikipedia.org/wiki/Indonesia_national_football_team,10324,TRUE,Sports Events & Competitions
SummerSlam (2024),https://en.wikipedia.org/wiki/SummerSlam_(2024),6995,TRUE,Sports Events & Competitions
Bayesian (yacht),https://en.wikipedia.org/wiki/Bayesian_(yacht),3884,TRUE,Other
Choi Tae-young,https://en.wikipedia.org/wiki/Choi_Tae-young,5546,TRUE,Other
Modernism,https://en.wikipedia.org/wiki/Modernism,23767,TRUE,Concepts & Knowledge
"Tornado outbreak of March 13–15, 2024","https://en.wikipedia.org/wiki/Tornado_outbreak_of_March_13–15,_2024",4814,TRUE,Breaking News & Incidents
Kiddush levana,https://en.wikipedia.org/wiki/Kiddush_levana,20104,TRUE,Concepts & Knowledge
Australia,https://en.wikipedia.org/wiki/Australia,28578,TRUE,Other
Bhool Bhulaiyaa 3,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa_3,8351,TRUE,"Movies, TV Shows & Entertainment"
Shantipur Handloom Industry,https://en.wikipedia.org/wiki/Shantipur_Handloom_Industry,5379,TRUE,Other
2024 United States drone sightings,https://en.wikipedia.org/wiki/2024_United_States_drone_sightings,12366,TRUE,Breaking News & Incidents
Sanremo Music Festival 2024,https://en.wikipedia.org/wiki/Sanremo_Music_Festival_2024,8058,TRUE,"Movies, TV Shows & Entertainment"
King and Queen of the Ring (2024),https://en.wikipedia.org/wiki/King_and_Queen_of_the_Ring_(2024),4526,TRUE,Sports Events & Competitions
Lynkestis,https://en.wikipedia.org/wiki/Lynkestis,4846,TRUE,Concepts & Knowledge
Winfield Blake,https://en.wikipedia.org/wiki/Winfield_Blake,7820,TRUE,Other
Maurya Empire,https://en.wikipedia.org/wiki/Maurya_Empire,12854,TRUE,Concepts & Knowledge
Bluebird K7,https://en.wikipedia.org/wiki/Bluebird_K7,8096,TRUE,Other
Tennis at the 2024 Summer Olympics – Qualification,https://en.wikipedia.org/wiki/Tennis_at_the_2024_Summer_Olympics_–_Qualification,3936,TRUE,Sports Events & Competitions
Ronald Reagan and AIDS,https://en.wikipedia.org/wiki/Ronald_Reagan_and_AIDS,11721,TRUE,Concepts & Knowledge
2023 Africa Cup of Nations,https://en.wikipedia.org/wiki/2023_Africa_Cup_of_Nations,7478,TRUE,Sports Events & Competitions
Luigi Mangione,https://en.wikipedia.org/wiki/Luigi_Mangione,9490,TRUE,Other
2024 National League Division Series,https://en.wikipedia.org/wiki/2024_National_League_Division_Series,4877,TRUE,Sports Events & Competitions
Frederik X,https://en.wikipedia.org/wiki/Frederik_X,7317,TRUE,Other
2024 Cannes Film Festival,https://en.wikipedia.org/wiki/2024_Cannes_Film_Festival,3938,TRUE,"Movies, TV Shows & Entertainment"
William Taylor (missionary),https://en.wikipedia.org/wiki/William_Taylor_(missionary),7067,TRUE,Concepts & Knowledge
Intuitive Machines Nova-C,https://en.wikipedia.org/wiki/Intuitive_Machines_Nova-C,5116,TRUE,Other
Kamala Harris,https://en.wikipedia.org/wiki/Kamala_Harris,20305,TRUE,Political Elections & Campaigns
Eurovision Song Contest 2024,https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2024,21883,TRUE,Sports Events & Competitions
JD Vance,https://en.wikipedia.org/wiki/JD_Vance,13267,TRUE,Political Elections & Campaigns
Amaran (2024 film),https://en.wikipedia.org/wiki/Amaran_(2024_film),10140,TRUE,"Movies, TV Shows & Entertainment"
UEFA Euro 2024,https://en.wikipedia.org/wiki/UEFA_Euro_2024,14975,TRUE,Sports Events & Competitions
2023–24 Premier League,https://en.wikipedia.org/wiki/2023–24_Premier_League,8153,TRUE,Sports Events & Competitions
Phillips Exeter Academy,https://en.wikipedia.org/wiki/Phillips_Exeter_Academy,12601,TRUE,Other
